adm3_en,month,NO2,date
City of Cagayan De Oro,2018-06,4.891280914233535e-05,2018-06-01T00:00:00
City of Iligan,2018-06,4.5390534145587255e-05,2018-06-01T00:00:00
City of Davao,2018-06,4.31131011086512e-05,2018-06-01T00:00:00
City of General Santos,2018-06,3.598389322346012e-05,2018-06-01T00:00:00
City of Caloocan,2018-06,6.97834018577911e-05,2018-06-01T00:00:00
City of Makati,2018-06,8.256102819080753e-05,2018-06-01T00:00:00
City of Malabon,2018-06,7.566400119438247e-05,2018-06-01T00:00:00
City of Mandaluyong,2018-06,8.587932548450226e-05,2018-06-01T00:00:00
City of Manila,2018-06,7.243029414908494e-05,2018-06-01T00:00:00
City of Marikina,2018-06,8.504608832586316e-05,2018-06-01T00:00:00
City of Muntinlupa,2018-06,6.090360767773405e-05,2018-06-01T00:00:00
City of Navotas,2018-06,6.930277020852368e-05,2018-06-01T00:00:00
Pasay City,2018-06,7.14528076388518e-05,2018-06-01T00:00:00
City of Pasig,2018-06,8.579609026943519e-05,2018-06-01T00:00:00
Quezon City,2018-06,8.023224890147076e-05,2018-06-01T00:00:00
City of San Juan,2018-06,8.679497554671872e-05,2018-06-01T00:00:00
City of Taguig,2018-06,8.237114565882887e-05,2018-06-01T00:00:00
City of Valenzuela,2018-06,8.139759809149454e-05,2018-06-01T00:00:00
City of Baguio,2018-06,5.290795469991088e-05,2018-06-01T00:00:00
City of Butuan,2018-06,4.824545346493737e-05,2018-06-01T00:00:00
City of Cotabato,2018-06,5.3196338087756e-05,2018-06-01T00:00:00
City of Angeles,2018-06,5.246421386542772e-05,2018-06-01T00:00:00
City of Olongapo,2018-06,4.99672406454878e-05,2018-06-01T00:00:00
Ormoc City,2018-06,4.732185150453848e-05,2018-06-01T00:00:00
City of Tacloban,2018-06,4.485434145209409e-05,2018-06-01T00:00:00
City of Zamboanga,2018-06,4.194920109710167e-05,2018-06-01T00:00:00
City of Isabela,2018-06,2.9109980274125614e-05,2018-06-01T00:00:00
Pateros,2018-06,8.540396523304575e-05,2018-06-01T00:00:00
City of Puerto Princesa,2018-06,4.184137459793801e-05,2018-06-01T00:00:00
City of Lucena,2018-06,4.9178517262588064e-05,2018-06-01T00:00:00
City of Bacolod,2018-06,4.886710613217403e-05,2018-06-01T00:00:00
City of Iloilo,2018-06,5.128067728364819e-05,2018-06-01T00:00:00
City of Cebu,2018-06,5.888704357250968e-05,2018-06-01T00:00:00
City of Lapu-Lapu,2018-06,6.052317945139602e-05,2018-06-01T00:00:00
City of Mandaue,2018-06,6.693124314866224e-05,2018-06-01T00:00:00
City of Cagayan De Oro,2018-07,4.768238544385223e-05,2018-07-01T00:00:00
City of Iligan,2018-07,4.744504519937534e-05,2018-07-01T00:00:00
City of Davao,2018-07,4.818931751083663e-05,2018-07-01T00:00:00
City of General Santos,2018-07,4.205810762908649e-05,2018-07-01T00:00:00
City of Caloocan,2018-07,8.864982594376089e-05,2018-07-01T00:00:00
City of Makati,2018-07,9.039278491152164e-05,2018-07-01T00:00:00
City of Malabon,2018-07,8.801861137998861e-05,2018-07-01T00:00:00
City of Mandaluyong,2018-07,9.285203736720576e-05,2018-07-01T00:00:00
City of Manila,2018-07,8.462582700029105e-05,2018-07-01T00:00:00
City of Marikina,2018-07,9.511425450643314e-05,2018-07-01T00:00:00
City of Muntinlupa,2018-07,8.295701724585908e-05,2018-07-01T00:00:00
City of Navotas,2018-07,8.441652848813978e-05,2018-07-01T00:00:00
Pasay City,2018-07,8.639435459768779e-05,2018-07-01T00:00:00
City of Pasig,2018-07,9.384857034257266e-05,2018-07-01T00:00:00
Quezon City,2018-07,9.253831480575858e-05,2018-07-01T00:00:00
City of San Juan,2018-07,9.216538768206327e-05,2018-07-01T00:00:00
City of Taguig,2018-07,8.952468266143741e-05,2018-07-01T00:00:00
City of Valenzuela,2018-07,8.879946450744347e-05,2018-07-01T00:00:00
City of Baguio,2018-07,5.870456272066742e-05,2018-07-01T00:00:00
City of Butuan,2018-07,4.691911362428484e-05,2018-07-01T00:00:00
City of Cotabato,2018-07,4.554399583671772e-05,2018-07-01T00:00:00
City of Angeles,2018-07,6.882812321102631e-05,2018-07-01T00:00:00
City of Olongapo,2018-07,5.397893256518622e-05,2018-07-01T00:00:00
Ormoc City,2018-07,4.54978694060332e-05,2018-07-01T00:00:00
City of Tacloban,2018-07,4.699697655824272e-05,2018-07-01T00:00:00
City of Zamboanga,2018-07,4.3159071590986e-05,2018-07-01T00:00:00
City of Isabela,2018-07,4.453836374842221e-05,2018-07-01T00:00:00
Pateros,2018-07,8.916721043790919e-05,2018-07-01T00:00:00
City of Puerto Princesa,2018-07,4.079946128358335e-05,2018-07-01T00:00:00
City of Lucena,2018-07,6.233058640373615e-05,2018-07-01T00:00:00
City of Bacolod,2018-07,5.04328263750636e-05,2018-07-01T00:00:00
City of Iloilo,2018-07,4.682541473381213e-05,2018-07-01T00:00:00
City of Cebu,2018-07,5.336324563662513e-05,2018-07-01T00:00:00
City of Lapu-Lapu,2018-07,5.477452855763212e-05,2018-07-01T00:00:00
City of Mandaue,2018-07,6.206462151460715e-05,2018-07-01T00:00:00
City of Cagayan De Oro,2018-08,4.795984838985309e-05,2018-08-01T00:00:00
City of Iligan,2018-08,4.807553212407937e-05,2018-08-01T00:00:00
City of Davao,2018-08,4.638172439904683e-05,2018-08-01T00:00:00
City of General Santos,2018-08,4.352752959076309e-05,2018-08-01T00:00:00
City of Caloocan,2018-08,7.217819887695796e-05,2018-08-01T00:00:00
City of Makati,2018-08,8.629458357038623e-05,2018-08-01T00:00:00
City of Malabon,2018-08,7.31278625649083e-05,2018-08-01T00:00:00
City of Mandaluyong,2018-08,8.852111838940452e-05,2018-08-01T00:00:00
City of Manila,2018-08,8.220738525846948e-05,2018-08-01T00:00:00
City of Marikina,2018-08,9.560044314696748e-05,2018-08-01T00:00:00
City of Muntinlupa,2018-08,6.49311185567632e-05,2018-08-01T00:00:00
City of Navotas,2018-08,6.859608439567197e-05,2018-08-01T00:00:00
Pasay City,2018-08,7.95089445295196e-05,2018-08-01T00:00:00
City of Pasig,2018-08,8.808170180247192e-05,2018-08-01T00:00:00
Quezon City,2018-08,8.390762078472084e-05,2018-08-01T00:00:00
City of San Juan,2018-08,8.50693880544608e-05,2018-08-01T00:00:00
City of Taguig,2018-08,8.05446871493505e-05,2018-08-01T00:00:00
City of Valenzuela,2018-08,7.08579180997354e-05,2018-08-01T00:00:00
City of Baguio,2018-08,5.232936152903982e-05,2018-08-01T00:00:00
City of Butuan,2018-08,4.36421198793719e-05,2018-08-01T00:00:00
City of Cotabato,2018-08,4.601876713619651e-05,2018-08-01T00:00:00
City of Angeles,2018-08,5.596456097327626e-05,2018-08-01T00:00:00
City of Olongapo,2018-08,,2018-08-01T00:00:00
Ormoc City,2018-08,4.376815256998036e-05,2018-08-01T00:00:00
City of Tacloban,2018-08,4.584932358593993e-05,2018-08-01T00:00:00
City of Zamboanga,2018-08,4.232039941192083e-05,2018-08-01T00:00:00
City of Isabela,2018-08,4.492866521402196e-05,2018-08-01T00:00:00
Pateros,2018-08,8.44621213146137e-05,2018-08-01T00:00:00
City of Puerto Princesa,2018-08,4.16723410994451e-05,2018-08-01T00:00:00
City of Lucena,2018-08,5.102287891985156e-05,2018-08-01T00:00:00
City of Bacolod,2018-08,4.919210652769579e-05,2018-08-01T00:00:00
City of Iloilo,2018-08,5.187825292011948e-05,2018-08-01T00:00:00
City of Cebu,2018-08,5.4493543736982375e-05,2018-08-01T00:00:00
City of Lapu-Lapu,2018-08,5.5517162439601054e-05,2018-08-01T00:00:00
City of Mandaue,2018-08,6.11963993385339e-05,2018-08-01T00:00:00
City of Cagayan De Oro,2018-09,4.843260784494379e-05,2018-09-01T00:00:00
City of Iligan,2018-09,4.656239507832598e-05,2018-09-01T00:00:00
City of Davao,2018-09,4.608942764626027e-05,2018-09-01T00:00:00
City of General Santos,2018-09,4.2838324836757664e-05,2018-09-01T00:00:00
City of Caloocan,2018-09,8.858215775807008e-05,2018-09-01T00:00:00
City of Makati,2018-09,0.00011388146869747748,2018-09-01T00:00:00
City of Malabon,2018-09,9.13755643460607e-05,2018-09-01T00:00:00
City of Mandaluyong,2018-09,0.00012354655151664216,2018-09-01T00:00:00
City of Manila,2018-09,0.0001103163136052813,2018-09-01T00:00:00
City of Marikina,2018-09,0.00011144588929012384,2018-09-01T00:00:00
City of Muntinlupa,2018-09,7.56812575020538e-05,2018-09-01T00:00:00
City of Navotas,2018-09,8.788391374080936e-05,2018-09-01T00:00:00
Pasay City,2018-09,0.00010267849848188832,2018-09-01T00:00:00
City of Pasig,2018-09,0.00012359813469356743,2018-09-01T00:00:00
Quezon City,2018-09,0.00010327689822370947,2018-09-01T00:00:00
City of San Juan,2018-09,0.00012438383668410277,2018-09-01T00:00:00
City of Taguig,2018-09,0.0001090529700009897,2018-09-01T00:00:00
City of Valenzuela,2018-09,8.743278775618533e-05,2018-09-01T00:00:00
City of Baguio,2018-09,6.084840596842719e-05,2018-09-01T00:00:00
City of Butuan,2018-09,4.496010772991433e-05,2018-09-01T00:00:00
City of Cotabato,2018-09,4.597435358994822e-05,2018-09-01T00:00:00
City of Angeles,2018-09,6.982713299456724e-05,2018-09-01T00:00:00
City of Olongapo,2018-09,5.556435237119952e-05,2018-09-01T00:00:00
Ormoc City,2018-09,4.4073080060072805e-05,2018-09-01T00:00:00
City of Tacloban,2018-09,4.453785397484361e-05,2018-09-01T00:00:00
City of Zamboanga,2018-09,3.975947743614335e-05,2018-09-01T00:00:00
City of Isabela,2018-09,4.267823059997682e-05,2018-09-01T00:00:00
Pateros,2018-09,0.00011867356553434033,2018-09-01T00:00:00
City of Puerto Princesa,2018-09,4.07788754469062e-05,2018-09-01T00:00:00
City of Lucena,2018-09,5.142845405483151e-05,2018-09-01T00:00:00
City of Bacolod,2018-09,5.2254024238415655e-05,2018-09-01T00:00:00
City of Iloilo,2018-09,5.046495014055744e-05,2018-09-01T00:00:00
City of Cebu,2018-09,4.947936022338069e-05,2018-09-01T00:00:00
City of Lapu-Lapu,2018-09,5.1144234661659526e-05,2018-09-01T00:00:00
City of Mandaue,2018-09,5.643412081128934e-05,2018-09-01T00:00:00
City of Cagayan De Oro,2018-10,4.983212524248982e-05,2018-10-01T00:00:00
City of Iligan,2018-10,4.969228762653503e-05,2018-10-01T00:00:00
