adm2_en,month,NO2,date
Davao de Oro,2018-06,4.366418181548433e-05,2018-06-01T00:00:00
Davao Occidental,2018-06,3.6646926844726464e-05,2018-06-01T00:00:00
Cotabato,2018-06,4.374332526725693e-05,2018-06-01T00:00:00
Maguindanao del Norte,2018-06,4.282434888450249e-05,2018-06-01T00:00:00
Maguindanao del Sur,2018-06,4.161804160141725e-05,2018-06-01T00:00:00
Davao de Oro,2018-07,4.7610037535237966e-05,2018-07-01T00:00:00
Davao Occidental,2018-07,4.3212399882269325e-05,2018-07-01T00:00:00
Cotabato,2018-07,4.618750183003164e-05,2018-07-01T00:00:00
Maguindanao del Norte,2018-07,4.4779061059893015e-05,2018-07-01T00:00:00
Maguindanao del Sur,2018-07,4.582934087483761e-05,2018-07-01T00:00:00
Davao de Oro,2018-08,4.445743021316044e-05,2018-08-01T00:00:00
Davao Occidental,2018-08,4.299532615004075e-05,2018-08-01T00:00:00
Cotabato,2018-08,4.528545475081254e-05,2018-08-01T00:00:00
Maguindanao del Norte,2018-08,4.441393241214396e-05,2018-08-01T00:00:00
Maguindanao del Sur,2018-08,4.5959967898928864e-05,2018-08-01T00:00:00
Davao de Oro,2018-09,4.580868183827866e-05,2018-09-01T00:00:00
Davao Occidental,2018-09,4.206299263074803e-05,2018-09-01T00:00:00
Cotabato,2018-09,4.484468762191056e-05,2018-09-01T00:00:00
Maguindanao del Norte,2018-09,4.439374501391992e-05,2018-09-01T00:00:00
Maguindanao del Sur,2018-09,4.509090543965997e-05,2018-09-01T00:00:00
Davao de Oro,2018-10,4.403113570088982e-05,2018-10-01T00:00:00
Davao Occidental,2018-10,4.172524902000808e-05,2018-10-01T00:00:00
Cotabato,2018-10,4.583138359580435e-05,2018-10-01T00:00:00
Maguindanao del Norte,2018-10,4.528436351761935e-05,2018-10-01T00:00:00
Maguindanao del Sur,2018-10,4.723276560321906e-05,2018-10-01T00:00:00
Davao de Oro,2018-11,4.1090298230311e-05,2018-11-01T00:00:00
Davao Occidental,2018-11,4.027924870415384e-05,2018-11-01T00:00:00
Cotabato,2018-11,4.3083082057828e-05,2018-11-01T00:00:00
Maguindanao del Norte,2018-11,4.220510649834349e-05,2018-11-01T00:00:00
Maguindanao del Sur,2018-11,4.446278306293235e-05,2018-11-01T00:00:00
Davao de Oro,2018-12,4.066027539527668e-05,2018-12-01T00:00:00
Davao Occidental,2018-12,3.945072321917685e-05,2018-12-01T00:00:00
Cotabato,2018-12,4.299959006071575e-05,2018-12-01T00:00:00
Maguindanao del Norte,2018-12,4.270521670803657e-05,2018-12-01T00:00:00
Maguindanao del Sur,2018-12,4.3503396113010665e-05,2018-12-01T00:00:00
Davao de Oro,2019-01,3.5575740411087094e-05,2019-01-01T00:00:00
Davao Occidental,2019-01,3.3881301083113265e-05,2019-01-01T00:00:00
Cotabato,2019-01,3.780738016070496e-05,2019-01-01T00:00:00
Maguindanao del Norte,2019-01,3.961011548928037e-05,2019-01-01T00:00:00
Maguindanao del Sur,2019-01,3.9736531924010285e-05,2019-01-01T00:00:00
Davao de Oro,2019-02,3.693064365113872e-05,2019-02-01T00:00:00
Davao Occidental,2019-02,3.684662550169518e-05,2019-02-01T00:00:00
Cotabato,2019-02,4.1811100390891086e-05,2019-02-01T00:00:00
Maguindanao del Norte,2019-02,4.504181369087772e-05,2019-02-01T00:00:00
Maguindanao del Sur,2019-02,4.455072692862014e-05,2019-02-01T00:00:00
Davao de Oro,2019-03,3.685858222655259e-05,2019-03-01T00:00:00
Davao Occidental,2019-03,3.631573405956429e-05,2019-03-01T00:00:00
Cotabato,2019-03,4.327988157809797e-05,2019-03-01T00:00:00
Maguindanao del Norte,2019-03,4.5644740361133096e-05,2019-03-01T00:00:00
Maguindanao del Sur,2019-03,4.7035227908454864e-05,2019-03-01T00:00:00
Davao de Oro,2019-04,3.5860855599089786e-05,2019-04-01T00:00:00
Davao Occidental,2019-04,3.445321213763679e-05,2019-04-01T00:00:00
Cotabato,2019-04,3.9695995584659735e-05,2019-04-01T00:00:00
Maguindanao del Norte,2019-04,4.019028101891705e-05,2019-04-01T00:00:00
Maguindanao del Sur,2019-04,4.134028183077717e-05,2019-04-01T00:00:00
Davao de Oro,2019-05,4.330883361107328e-05,2019-05-01T00:00:00
Davao Occidental,2019-05,3.99865569711758e-05,2019-05-01T00:00:00
Cotabato,2019-05,4.372686290588777e-05,2019-05-01T00:00:00
Maguindanao del Norte,2019-05,4.290750450695993e-05,2019-05-01T00:00:00
Maguindanao del Sur,2019-05,4.525917136805918e-05,2019-05-01T00:00:00
Davao de Oro,2019-06,4.163633263842382e-05,2019-06-01T00:00:00
Davao Occidental,2019-06,3.819234756611183e-05,2019-06-01T00:00:00
